callsign,frequency,band,names,nlu_names,location.city,location.country,location.full_state_name,location.state,free_search,geolocation.coordinates,geolocation.type,popularity
KBIL,89.7,FM,Air1 Radio,"[""Air1 Radio""]",Park City,US,Montana,MT,"[""Air1 Radio"",""89.7"",""KBIL"",""Park City"",""FM""]","[-108.76399993896484,45.85329818725586]",Point,1.7
KYOR,88.9,FM,Family Radio Network,"[""Family Radio Network""]",Newport,US,Oregon,OR,"[""Family Radio Network"",""88.9"",""KYOR"",""Newport"",""FM""]","[-124.05000305175781,44.75640106201172]",Point,2.7
K267CM,101.3,FM,KUNC,[],Steamboat Springs,US,Colorado,CO,"[""KUNC"",""101.3"",""K267CM"",""Steamboat Springs"",""FM""]","[-106.83200073242188,40.48500061035156]",Point,3.5
KQEO,107.1,FM,Arrow 107.1,"[""Arrow""]",Idaho Falls,US,Idaho,ID,"[""Arrow 107.1"",""107.1"",""KQEO"",""Idaho Falls"",""FM""]","[-112.03399658203125,43.46659851074219]",Point,1.8
KKIS,96.5,FM,Radio Kenai,"[""Radio Kenai""]",Soldotna,US,Alaska,AK,"[""Radio Kenai"",""96.5"",""KKIS"",""Soldotna"",""FM""]","[-151.05599975585938,60.52389907836914]",Point,0.2
W246AR,97.1,FM,WRDV,[],Bensalem,US,Pennsylvania,PA,"[""WRDV"",""97.1"",""W246AR"",""Bensalem"",""FM""]","[-74.92610168457031,40.11000061035156]",Point,1.8
K252DN,98.3,FM,KRCS,[],Spearfish,US,South Dakota,SD,"[""KRCS"",""98.3"",""K252DN"",""Spearfish"",""FM""]","[-103.83499908447266,44.49250030517578]",Point,3.5
K265CJ,100.9,FM,KJJJ,[],Laughlin,US,Nevada,NV,"[""KJJJ"",""100.9"",""K265CJ"",""Laughlin"",""FM""]","[-114.74199676513672,35.246700286865234]",Point,1.8
K215BC,90.9,FM,KAJX,[],Thomasville,US,Colorado,CO,"[""KAJX"",""90.9"",""K215BC"",""Thomasville"",""FM""]","[-106.7030029296875,39.36029815673828]",Point,2.7
K220GE,91.9,FM,KUSU-FM,"[""KUSU-FM""]",Levan,US,Utah,UT,"[""KUSU-FM"",""91.9"",""K220GE"",""Levan"",""FM""]","[-111.86199951171875,39.55860137939453]",Point,4.5
K222AJ,92.3,FM,KSKE-FM,"[""KSKE-FM""]",Vail,US,Colorado,CO,"[""KSKE-FM"",""92.3"",""K222AJ"",""Vail"",""FM""]","[-106.4489974975586,39.6161003112793]",Point,0.1
K297BU,107.3,FM,KYOS,[],Merced,US,California,CA,"[""KYOS"",""107.3"",""K297BU"",""Merced"",""FM""]","[-120.43399810791016,37.291900634765625]",Point,2.1
K259CA,99.7,FM,KEFX,[],Caliente,US,California,CA,"[""KEFX"",""99.7"",""K259CA"",""Caliente"",""FM""]","[-118.58999633789062,35.45280075073242]",Point,1.1
K211FZ,90.1,FM,KAWZ,[],Austin,US,Texas,TX,"[""KAWZ"",""90.1"",""K211FZ"",""Austin"",""FM""]","[-97.90139770507812,30.24920082092285]",Point,1.9
K201FP,88.1,FM,KAWZ,[],Arapaho,US,Oklahoma,OK,"[""KAWZ"",""88.1"",""K201FP"",""Arapaho"",""FM""]","[-98.87220001220703,35.52190017700195]",Point,1.9
K214DI,90.7,FM,KHRI,[],Casper,US,Wyoming,WY,"[""KHRI"",""90.7"",""K214DI"",""Casper"",""FM""]","[-106.35900115966797,42.7406005859375]",Point,1.7
W217BL,91.3,FM,KAWZ,[],Jacksonville,US,Florida,FL,"[""KAWZ"",""91.3"",""W217BL"",""Jacksonville"",""FM""]","[-81.63670349121094,30.275800704956055]",Point,1.9
K210CW,89.9,FM,KLOV,[],Newport,US,Oregon,OR,"[""KLOV"",""89.9"",""K210CW"",""Newport"",""FM""]","[-124.0530014038086,44.63679885864258]",Point,2.9
K262CK,100.3,FM,KXLG,[],Milbank,US,South Dakota,SD,"[""KXLG"",""100.3"",""K262CK"",""Milbank"",""FM""]","[-96.61689758300781,45.221900939941406]",Point,1.6
K208EG,89.5,FM,KWFL,[],Alamosa,US,Colorado,CO,"[""KWFL"",""89.5"",""K208EG"",""Alamosa"",""FM""]","[-105.86199951171875,37.457801818847656]",Point,3.4
K208ED,89.5,FM,KWFL,[],Deming,US,New Mexico,NM,"[""KWFL"",""89.5"",""K208ED"",""Deming"",""FM""]","[-107.75499725341797,32.2963981628418]",Point,3.4
KUMT2,107.9,FM,KUMT,[],Ogden,US,Utah,UT,"[""KUMT"",""107.9"",""KUMT2"",""Ogden"",""FM""]","[-112.00800323486328,41.342201232910156]",Point,4.5
W254AX,98.7,FM,WATK,[],Antigo,US,Wisconsin,WI,"[""WATK"",""98.7"",""W254AX"",""Antigo"",""FM""]","[-89.15249633789062,45.10639953613281]",Point,1.6
W208BV,89.5,FM,WHJL,[],Mercer,US,Wisconsin,WI,"[""WHJL"",""89.5"",""W208BV"",""Mercer"",""FM""]","[-90.04889678955078,46.155799865722656]",Point,2.7
KCCD,90.3,FM,KNOW-FM,"[""KNOW-FM""]",Moorhead,US,Minnesota,MN,"[""KNOW-FM"",""90.3"",""KCCD"",""Moorhead"",""FM""]","[-96.7676010131836,46.8739013671875]",Point,4.8
WGLB,1560,AM,WGLB,[],Elm Grove,US,Wisconsin,WI,"[""WGLB"",""1560"",""WGLB"",""Elm Grove"",""AM""]","[-88.03500366210938,43.0088996887207]",Point,4.5
WECC,89.3,FM,The Lighthouse WECC,"[""The Lighthouse""]",Folkston,US,Georgia,GA,"[""The Lighthouse WECC"",""89.3"",""WECC"",""Folkston"",""FM""]","[-81.70829772949219,30.931699752807617]",Point,1.9
KSUN,1400,AM,La Mejor,"[""La Mejor""]",Phoenix,US,Arizona,AZ,"[""La Mejor"",""1400"",""KSUN"",""Phoenix"",""AM""]","[-112.0739974975586,33.44839859008789]",Point,0.5
K237AY,95.3,FM,KSOS,[],Pioche,US,Nevada,NV,"[""KSOS"",""95.3"",""K237AY"",""Pioche"",""FM""]","[-114.45099639892578,37.92219924926758]",Point,4.6
K233AF,94.5,FM,KUSU-FM,"[""KUSU-FM""]",Teasdale,US,Utah,UT,"[""KUSU-FM"",""94.5"",""K233AF"",""Teasdale"",""FM""]","[-111.47699737548828,38.28609848022461]",Point,4.5
K285CP,104.9,FM,KNPR,[],Mammoth Lakes,US,California,CA,"[""KNPR"",""104.9"",""K285CP"",""Mammoth Lakes"",""FM""]","[-118.54900360107422,37.57529830932617]",Point,3.5
WRVM,102.7,FM,WRVM Radio,"[""Radio""]",Suring,US,Wisconsin,WI,"[""WRVM Radio"",""102.7"",""WRVM"",""Suring"",""FM""]","[-88.39859771728516,44.99169921875]",Point,2.7
WAWZ,99.1,FM,Star 99.1 / WAWZ,"[""Star /""]",Zarephath,US,New Jersey,NJ,"[""Star 99.1 / WAWZ"",""99.1"",""WAWZ"",""Zarephath"",""FM""]","[-74.57060241699219,40.611698150634766]",Point,4.6
K231BR,94.1,FM,KRCC,[],Walsenburg,US,Colorado,CO,"[""KRCC"",""94.1"",""K231BR"",""Walsenburg"",""FM""]","[-104.77999877929688,37.62419891357422]",Point,4.3
K219DP,91.7,FM,KENW-FM,"[""KENW-FM""]",Fort Sumner,US,New Mexico,NM,"[""KENW-FM"",""91.7"",""K219DP"",""Fort Sumner"",""FM""]","[-104.24600219726562,34.47169876098633]",Point,2.5
W215BG,90.9,FM,WOSR,[],Milford,US,Pennsylvania,PA,"[""WOSR"",""90.9"",""W215BG"",""Milford"",""FM""]","[-74.73040008544922,41.37300109863281]",Point,4.6
K206CI,89.1,FM,KEFX,[],Mooreland,US,Oklahoma,OK,"[""KEFX"",""89.1"",""K206CI"",""Mooreland"",""FM""]","[-99.35140228271484,36.41109848022461]",Point,1.1
K218ER,91.5,FM,KAWZ,[],Berlin,US,Oklahoma,OK,"[""KAWZ"",""91.5"",""K218ER"",""Berlin"",""FM""]","[-99.46029663085938,35.45029830932617]",Point,1.9
K221DV,92.1,FM,KAWZ,[],Kamilche,US,Washington,WA,"[""KAWZ"",""92.1"",""K221DV"",""Kamilche"",""FM""]","[-123.13999938964844,47.13890075683594]",Point,1.9
W202BQ,88.3,FM,WCPE,[],Aberdeen,US,North Carolina,NC,"[""WCPE"",""88.3"",""W202BQ"",""Aberdeen"",""FM""]","[-79.42949676513672,35.131500244140625]",Point,3.1
K217EF,91.3,FM,KMRO,[],Desert Center,US,California,CA,"[""KMRO"",""91.3"",""K217EF"",""Desert Center"",""FM""]","[-115.4530029296875,33.654998779296875]",Point,3
K212DO,90.3,FM,KVIP-FM,"[""KVIP-FM""]",Oakridge,US,Oregon,OR,"[""KVIP-FM"",""90.3"",""K212DO"",""Oakridge"",""FM""]","[-122.40399932861328,43.77640151977539]",Point,4.5
K215FF,90.9,FM,KHRI,[],Rock Springs,US,Wyoming,WY,"[""KHRI"",""90.9"",""K215FF"",""Rock Springs"",""FM""]","[-109.2030029296875,41.587501525878906]",Point,1.7
K217EP,91.3,FM,KAWC,[],Flagstaff,US,Arizona,AZ,"[""KAWC"",""91.3"",""K217EP"",""Flagstaff"",""FM""]","[-111.6510009765625,35.19810104370117]",Point,2.1
W217BO,91.3,FM,WRVM,[],Marshfield,US,Wisconsin,WI,"[""WRVM"",""91.3"",""W217BO"",""Marshfield"",""FM""]","[-90.13890075683594,44.650001525878906]",Point,2.7
K217AS,91.3,FM,KSOR,[],Big Bend,US,California,CA,"[""KSOR"",""91.3"",""K217AS"",""Big Bend"",""FM""]","[-121.91100311279297,41.02069854736328]",Point,2.4
WLJS,91.9,FM,WLJS 91.9 fm,"[""fm""]",Jacksonville,US,Alabama,AL,"[""WLJS 91.9 fm"",""91.9"",""WLJS"",""Jacksonville"",""FM""]","[-85.76139831542969,33.81370162963867]",Point,1.8
WVFJ,93.3,FM,The JOY FM Georgia,"[""The JOY FM Georgia""]",Tyrone,US,Georgia,GA,"[""The JOY FM Georgia"",""93.3"",""WVFJ"",""Tyrone"",""FM""]","[-84.689697265625,33.00389862060547]",Point,2.8
W223CK,92.5,FM,WWJB,[],Brooksville,US,Florida,FL,"[""WWJB"",""92.5"",""W223CK"",""Brooksville"",""FM""]","[-82.37670135498047,28.555599212646484]",Point,1.1
K261CW,100.1,FM,KERA,[],Tyler,US,Texas,TX,"[""KERA"",""100.1"",""K261CW"",""Tyler"",""FM""]","[-95.30110168457031,32.35129928588867]",Point,4.7
KPOI,105.9,FM,105.9 The Wave FM,"[""The FM""]",Honolulu,US,Hawaii,HI,"[""105.9 The Wave FM"",""105.9"",""KPOI"",""Honolulu"",""FM""]","[-158.10000610351562,21.397499084472656]",Point,1.8
K269AH,101.7,FM,KNCW,[],Oroville,US,Washington,WA,"[""KNCW"",""101.7"",""K269AH"",""Oroville"",""FM""]","[-119.38600158691406,48.78139877319336]",Point,1.8
W279AG,103.7,FM,WJNJ,[],Atlantic Beach,US,Florida,FL,"[""WJNJ"",""103.7"",""W279AG"",""Atlantic Beach"",""FM""]","[-81.43000030517578,30.32469940185547]",Point,1
K210CF,89.9,FM,KLOV,[],Kodiak,US,Alaska,AK,"[""KLOV"",""89.9"",""K210CF"",""Kodiak"",""FM""]","[-152.4290008544922,57.78919982910156]",Point,2.9
W292DZ,106.3,FM,WPOZ-HD3,"[""WPOZ-HD3""]",Orlando,US,Florida,FL,"[""WPOZ-HD3"",""106.3"",""W292DZ"",""Orlando"",""FM""]","[-81.60489654541016,28.727500915527344]",Point,4.5
W255DC,98.9,FM,WCIS-HD3,"[""WCIS-HD3""]",FULTON,US,New York,NY,"[""WCIS-HD3"",""98.9"",""W255DC"",""FULTON"",""FM""]","[-76.44309997558594,43.294700622558594]",Point,0.2
K209CP,89.7,FM,WPCS,[],Talent,US,Oregon,OR,"[""WPCS"",""89.7"",""K209CP"",""Talent"",""FM""]","[-122.7490005493164,42.299198150634766]",Point,4.6
K216ES,91.1,FM,KTLF,[],Cardiff,US,Colorado,CO,"[""KTLF"",""91.1"",""K216ES"",""Cardiff"",""FM""]","[-107.34200286865234,39.532798767089844]",Point,2.7
W220CH,91.7,FM,WMNR,[],West Hartford,US,Connecticut,CT,"[""WMNR"",""91.7"",""W220CH"",""West Hartford"",""FM""]","[-72.79779815673828,41.79669952392578]",Point,2.9
K217DG,91.3,FM,KAWZ,[],Rawlins,US,Wyoming,WY,"[""KAWZ"",""91.3"",""K217DG"",""Rawlins"",""FM""]","[-107.31700134277344,41.812801361083984]",Point,1.9
K207CZ,89.3,FM,KHRI,[],Carlsbad,US,New Mexico,NM,"[""KHRI"",""89.3"",""K207CZ"",""Carlsbad"",""FM""]","[-104.22899627685547,32.42070007324219]",Point,1.7
K211EQ,90.1,FM,KTLF,[],New Castle,US,Colorado,CO,"[""KTLF"",""90.1"",""K211EQ"",""New Castle"",""FM""]","[-107.4280014038086,39.559200286865234]",Point,2.7
K220KA,91.9,FM,KAWZ,[],Kerrville,US,Texas,TX,"[""KAWZ"",""91.9"",""K220KA"",""Kerrville"",""FM""]","[-99.0250015258789,30.050800323486328]",Point,1.9
W295AE,106.9,FM,Q-107,"[""Q-107""]",Trinity,US,Alabama,AL,"[""Q-107"",""106.9"",""W295AE"",""Trinity"",""FM""]","[-87.08190155029297,34.70920181274414]",Point,4.7
K288GY,105.5,FM,105.5 Kool FM,"[""FM""]",Tooele,US,Utah,UT,"[""105.5 Kool FM"",""105.5"",""K288GY"",""Tooele"",""FM""]","[-112.2979965209961,40.530799865722656]",Point,1.6
K207BK,89.3,FM,KTLF,[],Walsh,US,Colorado,CO,"[""KTLF"",""89.3"",""K207BK"",""Walsh"",""FM""]","[-102.28199768066406,37.388301849365234]",Point,2.7
K232DB,94.3,FM,KROG,[],Myrtle Creek,US,Oregon,OR,"[""KROG"",""94.3"",""K232DB"",""Myrtle Creek"",""FM""]","[-123.28500366210938,42.90169906616211]",Point,1.7
KLNB,88.3,FM,K-LOVE Radio,"[""K-LOVE Radio""]",Grand Island,US,Nebraska,NE,"[""K-LOVE Radio"",""88.3"",""KLNB"",""Grand Island"",""FM""]","[-98.34200286865234,40.92499923706055]",Point,2.9
W203BD,88.5,FM,KHRI,[],Decatur,US,Illinois,IL,"[""KHRI"",""88.5"",""W203BD"",""Decatur"",""FM""]","[-88.99189758300781,39.80970001220703]",Point,1.7
W279AI,103.7,FM,WLFJ-FM,"[""WLFJ-FM""]",Hendersonville,US,North Carolina,NC,"[""WLFJ-FM"",""103.7"",""W279AI"",""Hendersonville"",""FM""]","[-82.51940155029297,35.30939865112305]",Point,3.3
W300CE,107.9,FM,WRTP,[],Chapel Hill,US,North Carolina,NC,"[""WRTP"",""107.9"",""W300CE"",""Chapel Hill"",""FM""]","[-79.08000183105469,36.03559875488281]",Point,2
W205BR,88.9,FM,WPCS,[],Elmira,US,New York,NY,"[""WPCS"",""88.9"",""W205BR"",""Elmira"",""FM""]","[-76.79329681396484,42.12670135498047]",Point,4.6
WAYF,88.1,FM,South Florida's 88.1 WayFM,"[""South Florida's WayFM""]",West Palm Beach,US,Florida,FL,"[""South Florida's 88.1 WayFM"",""88.1"",""WAYF"",""West Palm Beach"",""FM""]","[-80.21219635009766,26.588899612426758]",Point,2.6
K209FX,89.7,FM,KLOV,[],Mitchell,US,South Dakota,SD,"[""KLOV"",""89.7"",""K209FX"",""Mitchell"",""FM""]","[-98.02980041503906,43.70940017700195]",Point,2.9
K201FK,88.1,FM,KAWZ,[],Burlington,US,Colorado,CO,"[""KAWZ"",""88.1"",""K201FK"",""Burlington"",""FM""]","[-102.16500091552734,39.337501525878906]",Point,1.9
K210DL,89.9,FM,KEFX,[],Apple Valley,US,California,CA,"[""KEFX"",""89.9"",""K210DL"",""Apple Valley"",""FM""]","[-117.28900146484375,34.61109924316406]",Point,1.1
W205CA,88.9,FM,WCPE,[],Foxfire,US,North Carolina,NC,"[""WCPE"",""88.9"",""W205CA"",""Foxfire"",""FM""]","[-79.57140350341797,35.17539978027344]",Point,3.1
K203DP,88.5,FM,KEFX,[],Argenta,US,Nevada,NV,"[""KEFX"",""88.5"",""K203DP"",""Argenta"",""FM""]","[-116.8280029296875,40.71329879760742]",Point,1.1
WKTT,97.5,FM,Live 97.5,"[""Live""]",Salisbury,US,Maryland,MD,"[""Live 97.5"",""97.5"",""WKTT"",""Salisbury"",""FM""]","[-75.61669921875,38.360801696777344]",Point,1.8
KCMF,89.7,FM,KSJN,[],Fergus Falls,US,Minnesota,MN,"[""KSJN"",""89.7"",""KCMF"",""Fergus Falls"",""FM""]","[-96.07759857177734,46.28300094604492]",Point,4.7
K220CH,91.9,FM,KCAW,[],Port Alexander,US,Alaska,AK,"[""KCAW"",""91.9"",""K220CH"",""Port Alexander"",""FM""]","[-134.6439971923828,56.249698638916016]",Point,2.4
WCRF,103.3,FM,Moody Radio Cleveland,"[""Moody Radio Cleveland""]",Cleveland,US,Ohio,OH,"[""Moody Radio Cleveland"",""103.3"",""WCRF"",""Cleveland"",""FM""]","[-81.65750122070312,41.29669952392578]",Point,4.6
W250BO,97.9,FM,Public Radio 90,"[""Public Radio""]",Stephenson,US,Michigan,MI,"[""Public Radio 90"",""97.9"",""W250BO"",""Stephenson"",""FM""]","[-87.60759735107422,45.41529846191406]",Point,4.3
K255AJ,98.9,FM,KCNA,[],Myrtle Creek,US,Oregon,OR,"[""KCNA"",""98.9"",""K255AJ"",""Myrtle Creek"",""FM""]","[-123.28500366210938,42.90169906616211]",Point,1.4
K211DK,90.1,FM,KMRO,[],Santa Ana,US,California,CA,"[""KMRO"",""90.1"",""K211DK"",""Santa Ana"",""FM""]","[-117.62300109863281,33.79669952392578]",Point,3
K206DH,89.1,FM,KAWZ,[],Winslow,US,Arizona,AZ,"[""KAWZ"",""89.1"",""K206DH"",""Winslow"",""FM""]","[-110.62799835205078,35.02360153198242]",Point,1.9
K217GC,91.3,FM,KAWZ,[],Nevada,US,Missouri,MO,"[""KAWZ"",""91.3"",""K217GC"",""Nevada"",""FM""]","[-94.37969970703125,37.8567008972168]",Point,1.9
K218CZ,91.5,FM,KVIP-FM,"[""KVIP-FM""]",Coarsegold,US,California,CA,"[""KVIP-FM"",""91.5"",""K218CZ"",""Coarsegold"",""FM""]","[-119.66999816894531,37.3125]",Point,4.5
K210EH,89.9,FM,KWMR,[],Bolinas,US,California,CA,"[""KWMR"",""89.9"",""K210EH"",""Bolinas"",""FM""]","[-122.71900177001953,37.930599212646484]",Point,1.9
K208DZ,89.5,FM,KCME,[],Cripple Creek,US,Colorado,CO,"[""KCME"",""89.5"",""K208DZ"",""Cripple Creek"",""FM""]","[-105.14700317382812,38.71440124511719]",Point,1.9
K210EL,89.9,FM,KCSP-FM,"[""KCSP-FM""]",Diamondville,US,Wyoming,WY,"[""KCSP-FM"",""89.9"",""K210EL"",""Diamondville"",""FM""]","[-110.5009994506836,41.83689880371094]",Point,2.1
K298CO,107.5,FM,WRVM,[],Minneapolis,US,Minnesota,MN,"[""WRVM"",""107.5"",""K298CO"",""Minneapolis"",""FM""]","[-93.35169982910156,44.98889923095703]",Point,2.7
KLIF,93.3,FM,The New HOT 93.3,"[""The New HOT""]",Dallas,US,Texas,TX,"[""The New HOT 93.3"",""93.3"",""KLIF"",""Dallas"",""FM""]","[-96.80670166015625,32.78310012817383]",Point,2.2
,,,Solid Rock Radio,"[""Solid Rock Radio""]",Aiken,US,South Carolina,SC,"[""Solid Rock Radio"",""Aiken""]","[-81.71959686279297,33.56039810180664]",Point,1.5
WHQT,105.1,FM,HOT 105,"[""HOT""]",Hollywood,US,Florida,FL,"[""HOT 105"",""105.1"",""WHQT"",""Hollywood"",""FM""]","[-80.14949798583984,26.011199951171875]",Point,3.7
WPYA,97.3,FM,Mix 97.3,"[""Mix""]",Gardendale,US,Alabama,AL,"[""Mix 97.3"",""97.3"",""WPYA"",""Gardendale"",""FM""]","[-86.80690002441406,33.48440170288086]",Point,2.6
K216CD,91.1,FM,KBSU-FM,"[""KBSU-FM""]",Lower Stanley,US,Idaho,ID,"[""KBSU-FM"",""91.1"",""K216CD"",""Lower Stanley"",""FM""]","[-114.92900085449219,44.226898193359375]",Point,2.9
K222BJ,92.3,FM,KANZ,[],Ashland,US,Kansas,KS,"[""KANZ"",""92.3"",""K222BJ"",""Ashland"",""FM""]","[-99.8115005493164,37.21929931640625]",Point,2.6
W289AI,105.7,FM,WVIA-FM,"[""WVIA-FM""]",Sunbury,US,Pennsylvania,PA,"[""WVIA-FM"",""105.7"",""W289AI"",""Sunbury"",""FM""]","[-76.79440307617188,40.86259841918945]",Point,4.8
K220FC,91.9,FM,KUSU-FM,"[""KUSU-FM""]",Hanksville,US,Utah,UT,"[""KUSU-FM"",""91.9"",""K220FC"",""Hanksville"",""FM""]","[-110.71399688720703,38.37300109863281]",Point,4.5
K257AU,99.3,FM,KKXK,[],Paonia,US,Colorado,CO,"[""KKXK"",""99.3"",""K257AU"",""Paonia"",""FM""]","[-107.66100311279297,38.8745002746582]",Point,3.9
K201IW,88.1,FM,KENW-FM,"[""KENW-FM""]",Las Vegas,US,New Mexico,NM,"[""KENW-FM"",""88.1"",""K201IW"",""Las Vegas"",""FM""]","[-105.2239990234375,35.59389877319336]",Point,2.5
W237AY,95.3,FM,WCIS-HD3,"[""WCIS-HD3""]",De Witt,US,New York,NY,"[""WCIS-HD3"",""95.3"",""W237AY"",""De Witt"",""FM""]","[-76.09390258789062,43.006900787353516]",Point,0.2
K218CN,91.5,FM,KXEI,[],Choteau,US,Montana,MT,"[""KXEI"",""91.5"",""K218CN"",""Choteau"",""FM""]","[-112.16100311279297,47.75579833984375]",Point,2.6
K260AK,99.9,FM,KVIP-FM,"[""KVIP-FM""]",Klamath Falls,US,Oregon,OR,"[""KVIP-FM"",""99.9"",""K260AK"",""Klamath Falls"",""FM""]","[-121.62799835205078,42.097198486328125]",Point,4.5
K220JK,91.9,FM,KAWZ,[],Gardendale,US,Texas,TX,"[""KAWZ"",""91.9"",""K220JK"",""Gardendale"",""FM""]","[-102.3010025024414,32.048301696777344]",Point,1.9
K205DK,88.9,FM,KODV,[],Yucca Valley,US,California,CA,"[""KODV"",""88.9"",""K205DK"",""Yucca Valley"",""FM""]","[-116.38899993896484,34.153099060058594]",Point,2.8
K215EK,90.9,FM,KWFL,[],Carlsbad,US,New Mexico,NM,"[""KWFL"",""90.9"",""K215EK"",""Carlsbad"",""FM""]","[-104.197998046875,32.47439956665039]",Point,3.4
W216BN,91.1,FM,WRTP,[],Raleigh,US,North Carolina,NC,"[""WRTP"",""91.1"",""W216BN"",""Raleigh"",""FM""]","[-78.60030364990234,35.751399993896484]",Point,2
W260DA,99.9,FM,WQXM,[],Bartow,US,Florida,FL,"[""WQXM"",""99.9"",""W260DA"",""Bartow"",""FM""]","[-81.9124984741211,27.943099975585938]",Point,1.1
K206DW,89.1,FM,KAWZ,[],Creston,US,Iowa,IA,"[""KAWZ"",""89.1"",""K206DW"",""Creston"",""FM""]","[-94.3499984741211,41.11309814453125]",Point,1.9
DK215DG,90.9,FM,KAWZ,[],Willows,US,California,CA,"[""KAWZ"",""90.9"",""DK215DG"",""Willows"",""FM""]","[-122.16799926757812,39.523101806640625]",Point,1.9
W240DM,95.9,FM,Freedom 96.5 and AM 1290,"[""Freedom and AM""]",Peoria,US,Illinois,IL,"[""Freedom 96.5 and AM 1290"",""95.9"",""W240DM"",""Peoria"",""FM""]","[-83.0967025756836,42.412200927734375]",Point,4.1
K209EM,89.7,FM,KLOV,[],Huron,US,South Dakota,SD,"[""KLOV"",""89.7"",""K209EM"",""Huron"",""FM""]","[-98.243896484375,44.342498779296875]",Point,2.9
K219LN,91.7,FM,KEFX,[],Kernville,US,California,CA,"[""KEFX"",""91.7"",""K219LN"",""Kernville"",""FM""]","[-118.55899810791016,35.7057991027832]",Point,1.1
K205FE,88.9,FM,KXEI,[],Rock Springs,US,Wyoming,WY,"[""KXEI"",""88.9"",""K205FE"",""Rock Springs"",""FM""]","[-109.34300231933594,41.49720001220703]",Point,2.6
K205DV,88.9,FM,KLOV,[],La Grande,US,Oregon,OR,"[""KLOV"",""88.9"",""K205DV"",""La Grande"",""FM""]","[-118.08799743652344,45.32460021972656]",Point,2.9
WWMP,103.3,FM,Rock 103.3 - Burlington's Rock Station,"[""Rock Burlington's Rock Station""]",Waterbury,US,Vermont,VT,"[""Rock 103.3 - Burlington's Rock Station"",""103.3"",""WWMP"",""Waterbury"",""FM""]","[-72.85559844970703,44.60639953613281]",Point,1.9
K219LR,91.7,FM,KVIP-FM,"[""KVIP-FM""]",Chemult,US,Oregon,OR,"[""KVIP-FM"",""91.7"",""K219LR"",""Chemult"",""FM""]","[-121.71600341796875,43.305599212646484]",Point,4.5
K213DM,90.5,FM,KVIP-FM,"[""KVIP-FM""]",Heppner,US,Oregon,OR,"[""KVIP-FM"",""90.5"",""K213DM"",""Heppner"",""FM""]","[-119.50399780273438,45.3911018371582]",Point,4.5
W254BB,98.7,FM,WRVM,[],Medford,US,Wisconsin,WI,"[""WRVM"",""98.7"",""W254BB"",""Medford"",""FM""]","[-90.33609771728516,45.12810134887695]",Point,2.7
KKCN1,103.1,FM,KKCN,[],San Angelo,US,Texas,TX,"[""KKCN"",""103.1"",""KKCN1"",""San Angelo"",""FM""]","[-100.43699645996094,31.46380043029785]",Point,2
KMIH,88.9,FM,889 The Bridge,"[""The Bridge""]",Mercer Island,US,Washington,WA,"[""889 The Bridge"",""88.9"",""KMIH"",""Mercer Island"",""FM""]","[-122.21800231933594,47.5724983215332]",Point,2.7
WAME,550,AM,WAME,[],Statesville,US,North Carolina,NC,"[""WAME"",""550"",""WAME"",""Statesville"",""AM""]","[-80.85469818115234,35.7952995300293]",Point,1.5
K220AY,91.9,FM,KPCW,[],Heber City,US,Utah,UT,"[""KPCW"",""91.9"",""K220AY"",""Heber City"",""FM""]","[-111.47599792480469,40.560001373291016]",Point,4.6
W261CQ,100.1,FM,WLUJ,[],Decatur,US,Illinois,IL,"[""WLUJ"",""100.1"",""W261CQ"",""Decatur"",""FM""]","[-88.93280029296875,39.8119010925293]",Point,1.2
K207DC,89.3,FM,KMBI-FM,"[""KMBI-FM""]",Tonasket,US,Washington,WA,"[""KMBI-FM"",""89.3"",""K207DC"",""Tonasket"",""FM""]","[-119.38099670410156,48.78969955444336]",Point,4.7
K218AJ,91.5,FM,KUSU-FM,"[""KUSU-FM""]",Monroe,US,Utah,UT,"[""KUSU-FM"",""91.5"",""K218AJ"",""Monroe"",""FM""]","[-112.12100219726562,38.630001068115234]",Point,4.5
K234AG,94.7,FM,KHYM,[],Ashland,US,Kansas,KS,"[""KHYM"",""94.7"",""K234AG"",""Ashland"",""FM""]","[-99.76439666748047,37.17689895629883]",Point,1.2
KFRS,89.9,FM,Family Radio Network,"[""Family Radio Network""]",Soledad,US,California,CA,"[""Family Radio Network"",""89.9"",""KFRS"",""Soledad"",""FM""]","[-121.2699966430664,36.27360153198242]",Point,2.7
K217CS,91.3,FM,KTXP,[],Washburn,US,Texas,TX,"[""KTXP"",""91.3"",""K217CS"",""Washburn"",""FM""]","[-101.572998046875,35.176700592041016]",Point,2.6
W276BA,103.1,FM,WBFJ,[],Fancy Gap,US,Virginia,VA,"[""WBFJ"",""103.1"",""W276BA"",""Fancy Gap"",""FM""]","[-80.68000030517578,36.646400451660156]",Point,1.5
W229AG,93.7,FM,WCNN,[],Atlanta,US,Georgia,GA,"[""WCNN"",""93.7"",""W229AG"",""Atlanta"",""FM""]","[-84.33940124511719,33.80720138549805]",Point,2
W217AW,91.3,FM,WSMC-FM,"[""WSMC-FM""]",Dalton,US,Georgia,GA,"[""WSMC-FM"",""91.3"",""W217AW"",""Dalton"",""FM""]","[-84.97019958496094,34.769798278808594]",Point,2.3
K215DM,90.9,FM,KHRI,[],Hoyt,US,Kansas,KS,"[""KHRI"",""90.9"",""K215DM"",""Hoyt"",""FM""]","[-95.75330352783203,39.03030014038086]",Point,1.7
